"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест открытия Дзена через логотип Яндекса","6249","test_yandex_logo","test","Tue Nov 12 23:48:31 MSK 2024","passed","Tue Nov 12 23:48:37 MSK 2024","TestClickOnLogo","test_order_page","",""
"","228","Тест открытия вопросов и сверкой ответов на вопросы","test","Tue Nov 12 23:48:51 MSK 2024","passed","Tue Nov 12 23:48:51 MSK 2024","TestOrderPage","test_questions","",""
"","247","Тест открытия вопросов и сверкой ответов на вопросы","test","Tue Nov 12 23:48:51 MSK 2024","passed","Tue Nov 12 23:48:51 MSK 2024","TestOrderPage","test_questions","",""
"Тест заказа самоката с помощью первой кнопки заказа","3579","test_first_button","test","Tue Nov 12 23:48:11 MSK 2024","passed","Tue Nov 12 23:48:15 MSK 2024","TestOrderPage","test_order_page","",""
"","225","Тест открытия вопросов и сверкой ответов на вопросы","test","Tue Nov 12 23:48:50 MSK 2024","passed","Tue Nov 12 23:48:50 MSK 2024","TestOrderPage","test_questions","",""
"Тест заказа самоката с помощью второй кнопки заказа","3729","test_second_button","test","Tue Nov 12 23:48:15 MSK 2024","passed","Tue Nov 12 23:48:19 MSK 2024","TestOrderPage","test_order_page","",""
"Тест открытия главной через логотип Самоката","234","test_scooter_logo","test","Tue Nov 12 23:48:31 MSK 2024","passed","Tue Nov 12 23:48:31 MSK 2024","TestClickOnLogo","test_order_page","",""
"","242","Тест открытия вопросов и сверкой ответов на вопросы","test","Tue Nov 12 23:48:50 MSK 2024","passed","Tue Nov 12 23:48:50 MSK 2024","TestOrderPage","test_questions","",""
"","228","Тест открытия вопросов и сверкой ответов на вопросы","test","Tue Nov 12 23:48:50 MSK 2024","passed","Tue Nov 12 23:48:50 MSK 2024","TestOrderPage","test_questions","",""
"","245","Тест открытия вопросов и сверкой ответов на вопросы","test","Tue Nov 12 23:48:49 MSK 2024","passed","Tue Nov 12 23:48:49 MSK 2024","TestOrderPage","test_questions","",""
"Тестыыык","0","test_example","test","Tue Nov 12 23:36:02 MSK 2024","passed","Tue Nov 12 23:36:02 MSK 2024","TestClickOnLogo","test_order_page","",""
"","243","Тест открытия вопросов и сверкой ответов на вопросы","test","Tue Nov 12 23:48:51 MSK 2024","passed","Tue Nov 12 23:48:51 MSK 2024","TestOrderPage","test_questions","",""
"","229","Тест открытия вопросов и сверкой ответов на вопросы","test","Tue Nov 12 23:48:50 MSK 2024","passed","Tue Nov 12 23:48:51 MSK 2024","TestOrderPage","test_questions","",""
